id;1;2;3;4;5;source;target;weight;Alexa;Circulation
;;;;;233;CNN;business;1;;
;;;;;234;CNN;business;1;;
;;;;;235;CNN;student;1;;
;;;;;236;CNN;student;1;;
;;;;;237;CNN;student;1;;
;;;;;238;CNN;student;1;;
;;;;;239;CNN;student;1;;
;;;;;240;CNN;student;1;;
;;;;;241;CNN;student;1;;
;;;;;242;CNN;student;1;;
;;;;;243;CNN;student;1;;
;;;;;244;CNN;student;1;;
;;;;;245;CNN;student;1;;
;;;;;246;CNN;student;1;;
;;;;;247;CNN;student;1;;
;;;;;248;CNN;student;1;;
;;;;;249;CNN;student;1;;
;;;;;250;CNN;student;1;;
;;;;;251;CNN;student;1;;
;;;;;252;CNN;student;1;;
;;;;;253;New York Times;service;1;;
;;;;;254;New York Times;service;1;;
;;;;;255;New York Times;service;1;;
;;;;;256;New York Times;service;1;;
;;;;;257;New York Times;service;1;;
;;;;;258;New York Times;service;1;;
;;;;;259;New York Times;service;1;;
;;;;;260;New York Times;service;1;;
;;;;;261;New York Times;service;1;;
;;;;;262;New York Times;service;1;;
;;;;;263;New York Times;service;1;;
;;;;;264;New York Times;service;1;;
;;;;;265;New York Times;service;1;;
;;;;;266;New York Times;service;1;;
;;;;;267;New York Times;service;1;;
;;;;;268;New York Times;service;1;;
;;;;;269;New York Times;service;1;;
;;;;;270;New York Times;service;1;;
;;;;;271;New York Times;service;1;;
;;;;;272;New York Times;service;1;;
;;;;;273;New York Times;service;1;;
;;;;;274;New York Times;service;1;;
;;;;;275;New York Times;service;1;;
;;;;;276;New York Times;service;1;;
;;;;;277;New York Times;service;1;;
;;;;;278;New York Times;service;1;;
;;;;;279;New York Times;service;1;;
;;;;;280;New York Times;service;1;;
;;;;;281;New York Times;service;1;;
;;;;;282;New York Times;service;1;;
;;;;;283;New York Times;service;1;;
;;;;;284;New York Times;service;1;;
;;;;;285;New York Times;service;1;;
;;;;;286;New York Times;service;1;;
;;;;;287;New York Times;service;1;;
;;;;;288;New York Times;service;1;;
;;;;;289;New York Times;service;1;;
;;;;;290;New York Times;service;1;;
;;;;;291;New York Times;service;1;;
;;;;;292;New York Times;service;1;;
;;;;;293;New York Times;service;1;;
;;;;;294;New York Times;service;1;;
;;;;;295;New York Times;service;1;;
;;;;;296;New York Times;service;1;;
;;;;;297;New York Times;service;1;;
;;;;;298;New York Times;service;1;;
;;;;;299;New York Times;service;1;;
;;;;;300;New York Times;service;1;;
;;;;;301;New York Times;service;1;;
;;;;;302;New York Times;service;1;;
;;;;;303;New York Times;service;1;;
;;;;;304;New York Times;service;1;;
;;;;;305;New York Times;service;1;;
;;;;;306;New York Times;service;1;;
;;;;;307;New York Times;service;1;;
;;;;;308;New York Times;service;1;;
;;;;;309;New York Times;service;1;;
;;;;;310;New York Times;service;1;;
;;;;;311;New York Times;service;1;;
;;;;;312;New York Times;service;1;;
;;;;;313;New York Times;service;1;;
;;;;;314;New York Times;service;1;;
;;;;;315;New York Times;service;1;;
;;;;;316;New York Times;service;1;;
;;;;;317;New York Times;service;1;;
;;;;;318;New York Times;privacy;1;;
;;;;;319;New York Times;privacy;1;;
;;;;;320;New York Times;privacy;1;;
;;;;;321;New York Times;privacy;1;;
;;;;;322;New York Times;privacy;1;;
;;;;;323;New York Times;privacy;1;;
;;;;;324;New York Times;privacy;1;;
;;;;;325;New York Times;privacy;1;;
;;;;;326;New York Times;privacy;1;;
;;;;;327;New York Times;privacy;1;;
;;;;;328;New York Times;privacy;1;;
;;;;;329;New York Times;privacy;1;;
;;;;;330;New York Times;privacy;1;;
;;;;;331;New York Times;privacy;1;;
;;;;;332;New York Times;privacy;1;;
;;;;;333;New York Times;privacy;1;;
;;;;;334;New York Times;privacy;1;;
;;;;;335;New York Times;privacy;1;;
;;;;;336;New York Times;privacy;1;;
;;;;;337;New York Times;privacy;1;;
;;;;;338;New York Times;privacy;1;;
;;;;;339;New York Times;privacy;1;;
;;;;;340;New York Times;privacy;1;;
;;;;;341;New York Times;privacy;1;;
;;;;;342;New York Times;privacy;1;;
;;;;;343;New York Times;privacy;1;;
;;;;;344;New York Times;privacy;1;;
;;;;;345;New York Times;privacy;1;;
;;;;;346;New York Times;privacy;1;;
;;;;;347;New York Times;privacy;1;;
;;;;;348;New York Times;privacy;1;;
;;;;;349;New York Times;privacy;1;;
;;;;;350;New York Times;privacy;1;;
;;;;;351;New York Times;privacy;1;;
;;;;;352;New York Times;privacy;1;;
;;;;;353;New York Times;privacy;1;;
;;;;;354;New York Times;privacy;1;;
;;;;;355;New York Times;privacy;1;;
